Rank,Hitter,Hitter Team,Game,Opp SP,Pitch,wOBA,xwOBA,Barrel%,HardHit%,Whiff%,Score,Tier,Best Market
1,Shea Langeliers,Athletics,Athletics @ San Francisco Giants,Robbie Ray,KC,0.7625000000000001,0.6514317500000001,0.6,0.5,0.4545454545454545,99.0,A,Best
2,Giancarlo Stanton,New York Yankees,New York Yankees @ Detroit Tigers,Casey Mize,FS,1.016666666666667,0.925,0.3333333333333333,0.5,0.1428571428571428,98.8,A,Best
3,Aaron Judge,New York Yankees,New York Yankees @ Detroit Tigers,Casey Mize,FS,0.6125,0.627875,0.75,0.6666666666666666,0.65,98.8,A,Best
4,Nick Kurtz,Athletics,Athletics @ San Francisco Giants,Robbie Ray,KC,0.7999999999999999,0.5896513333333334,0.3333333333333333,0.75,0.2857142857142857,98.8,A,Best
5,Jj Bleday,Cincinnati Reds,Milwaukee Brewers @ Cincinnati Reds,Brandon Sproat,CU,0.7346153846153847,0.6040756666666668,0.3,0.7857142857142857,0.375,98.3,A,Best
6,Adley Rutschman,Baltimore Orioles,Baltimore Orioles @ Los Angeles Angels,Ryan Johnson,FC,0.73125,0.5987272000000001,0.3333333333333333,0.4545454545454545,0.1666666666666667,97.7,A,Best
7,Luis García,Washington Nationals,Philadelphia Phillies @ Washington Nationals,Jesús Luzardo,ST,0.5611111111111112,0.628625,0.25,0.5294117647058824,0.05555555555555555,96.3,A,Best
8,Ben Rice,New York Yankees,New York Yankees @ Detroit Tigers,Casey Mize,FF,0.6155844155844157,0.5722646176470587,0.3265306122448979,0.40625,0.1587301587301587,95.5,A,Best
9,Jonathan Aranda,Tampa Bay Rays,Kansas City Royals @ Tampa Bay Rays,Luinder Avila,CU,0.4933333333333333,0.5169636,0.3333333333333333,0.45,0.2333333333333333,94.5,A,Best
10,Ian Happ,Chicago Cubs,Chicago Cubs @ New York Mets,Kodai Senga,FC,0.5700000000000001,0.4893923157894737,0.3076923076923077,0.40625,0.2352941176470588,93.9,A,Best
11,Shohei Ohtani,Los Angeles Dodgers,Los Angeles Dodgers @ Minnesota Twins,Kendry Rojas,SI,0.6208333333333331,0.5755561739130435,0.1944444444444444,0.4313725490196079,0.1666666666666667,93.3,A,Best
12,Ryan Vilade,Tampa Bay Rays,Kansas City Royals @ Tampa Bay Rays,Luinder Avila,SL,0.6090909090909091,0.8663333333333334,0.2,0.4117647058823529,0.3571428571428572,93.3,A,Best
13,Tyler Stephenson,Cincinnati Reds,Milwaukee Brewers @ Cincinnati Reds,Brandon Sproat,SI,0.5731707317073169,0.5611817297297297,0.2592592592592592,0.3720930232558139,0.1639344262295082,93.0,A,Best
14,Jesús Sánchez,Toronto Blue Jays,Houston Astros @ Toronto Blue Jays,Peter Lambert,FC,0.7210526315789474,0.506278375,0.2352941176470588,0.375,0.2857142857142857,92.9,A,Best
15,J. P. Crawford,Seattle Mariners,Seattle Mariners @ Pittsburgh Pirates,Mitch Keller,CU,0.6222222222222222,0.4298282222222223,0.4,0.4166666666666667,0.2352941176470588,92.7,A,Best
16,Nathaniel Lowe,Cincinnati Reds,Milwaukee Brewers @ Cincinnati Reds,Brandon Sproat,FC,0.7884615384615384,0.5174964615384616,0.4444444444444444,0.3333333333333333,0.16,92.5,A,Best
17,Drew Romo,Chicago White Sox,Cleveland Guardians @ Chicago White Sox,Parker Messick,SI,0.4666666666666667,0.5082565882352941,0.2666666666666667,0.4736842105263158,0.1666666666666667,92.3,A,Best
18,Kyle Schwarber,Philadelphia Phillies,Philadelphia Phillies @ Washington Nationals,PJ Poulin,SI,0.5844827586206895,0.5443028148148147,0.2368421052631579,0.3611111111111111,0.1630434782608696,92.0,A,Best
19,Giancarlo Stanton,New York Yankees,New York Yankees @ Detroit Tigers,Casey Mize,SI,0.5583333333333333,0.4820909090909091,0.2727272727272727,0.375,0.2,91.9,A,Best
20,Manny Machado,San Diego Padres,Atlanta Braves @ San Diego Padres,JR Ritchie,FC,0.5625000000000001,0.4982158749999999,0.2,0.4137931034482759,0.1578947368421053,91.8,A,Best
21,Cal Raleigh,Seattle Mariners,Seattle Mariners @ Pittsburgh Pirates,Mitch Keller,SI,0.5923076923076922,0.6169089999999999,0.4444444444444444,0.3157894736842105,0.1481481481481481,91.2,A,Best
22,Jo Adell,Los Angeles Angels,Baltimore Orioles @ Los Angeles Angels,Shane Baz,KC,0.4142857142857143,0.6232,0.3333333333333333,0.6,0.4,90.8,A,Best
23,Ketel Marte,Arizona Diamondbacks,Arizona Diamondbacks @ St. Louis Cardinals,Kyle Leahy,SI,0.5266666666666666,0.5157230909090911,0.1891891891891892,0.4067796610169492,0.0303030303030303,90.5,A,Best
24,Brandon Valenzuela,Toronto Blue Jays,Houston Astros @ Toronto Blue Jays,Peter Lambert,SL,0.6153846153846154,0.4642307692307692,0.5714285714285714,0.3333333333333333,0.3939393939393939,90.4,A,Best
25,Daniel Susac,San Francisco Giants,Athletics @ San Francisco Giants,Aaron Civale,FC,0.6333333333333333,0.4678000000000001,0.1666666666666667,0.4166666666666667,0.2941176470588235,90.0,A,Best
