#,Game,Park,Away SP,Home SP,Time (UTC)
1,Houston Astros @ Toronto Blue Jays,Rogers Centre,Peter Lambert,Shane Bieber,2026-06-23T20:07:00Z
2,Seattle Mariners @ Pittsburgh Pirates,PNC Park,George Kirby,Mitch Keller,2026-06-23T22:40:00Z
3,Kansas City Royals @ Tampa Bay Rays,Tropicana Field,Luinder Avila,Shane McClanahan,2026-06-23T22:40:00Z
4,Texas Rangers @ Miami Marlins,loanDepot park,Cal Quantrill,Sandy Alcantara,2026-06-23T22:40:00Z
5,New York Yankees @ Detroit Tigers,Comerica Park,Carlos Rodón,Casey Mize,2026-06-23T22:40:00Z
6,Philadelphia Phillies @ Washington Nationals,Nationals Park,Jesús Luzardo,PJ Poulin,2026-06-23T22:45:00Z
7,Chicago Cubs @ New York Mets,Citi Field,Edward Cabrera,Kodai Senga,2026-06-23T23:10:00Z
8,Milwaukee Brewers @ Cincinnati Reds,Great American Ball Park,Brandon Sproat,Nick Lodolo,2026-06-23T23:10:00Z
9,Los Angeles Dodgers @ Minnesota Twins,Target Field,Justin Wrobleski,Kendry Rojas,2026-06-23T23:40:00Z
10,Cleveland Guardians @ Chicago White Sox,Rate Field,Parker Messick,Sean Burke,2026-06-23T23:40:00Z
11,Arizona Diamondbacks @ St. Louis Cardinals,Busch Stadium,Eduardo Rodriguez,Kyle Leahy,2026-06-23T23:45:00Z
12,Boston Red Sox @ Colorado Rockies,Coors Field,Sonny Gray,Sean Sullivan,2026-06-24T00:40:00Z
13,Baltimore Orioles @ Los Angeles Angels,Angel Stadium,Shane Baz,Ryan Johnson,2026-06-24T01:38:00Z
14,Atlanta Braves @ San Diego Padres,Petco Park,JR Ritchie,Wandy Peralta,2026-06-24T01:40:00Z
15,Athletics @ San Francisco Giants,Oracle Park,Aaron Civale,Robbie Ray,2026-06-24T01:45:00Z
